field_1,Endhaltestelle,Langname,Xkoordinat,Ykoordinat,lon,lat,elevation
1254,URBW01,Urbanstr./Baerwaldstr.,24852000,18576200,24852,18576.2,0
1255,MIBO02,Michael-Bohnen-Ring,29621900,15328900,29621.9,15328.9,0
1256,SUBP02,Schulenburgpark,29484300,15455000,29484.3,15455,0
1257,KRTE01,Körtestr.,25511400,18361500,25511.4,18361.5,0
1258,KRTE02,Körtestr.,25520700,18337200,25520.7,18337.2,0
1259,ZSBR01,Zossener Brücke,24366800,19044200,24366.8,19044.2,0
1260,SAPA01,Sonnenallee/Pannierstr.,26774500,17648100,26774.5,17648.1,0
1261,FULD01,Fuldastr.,27145600,17389700,27145.6,17389.7,0
1262,ERKS03,Erkstr.,27436600,17152900,27436.6,17152.9,0
1263,GEYG01,Geygerstr.,27650700,16978800,27650.7,16978.8,0
1264,HEBP01,Hertzbergplatz,27993500,16699000,27993.5,16699,0
1265,MARE01,Mareschstr.,28265100,16477800,28265.1,16477.8,0
1266,SSON02,S Sonnenallee,28457500,16325900,28457.5,16325.9,0
1267,SSON03,S Sonnenallee,28463200,16334500,28463.2,16334.5,0
1268,MARE02,Mareschstr.,28250200,16513700,28250.2,16513.7,0
1269,HEBP02,Hertzbergplatz,27973900,16738599,27973.9,16738.599,0
1270,GEYG02,Geygerstr.,27667000,16988800,27667,16988.8,0
1271,ERKS04,Erkstr.,27445400,17169600,27445.4,17169.6,0
1272,FULD02,Fuldastr.,27144500,17414300,27144.5,17414.3,0
1273,UHPS01,U Hermannplatz/Sonnenallee,26455100,17855600,26455.1,17855.6,0
1274,SKLH01,S Köllnische Heide,29220500,15766200,29220.5,15766.2,0
1275,DWSA01,Dammweg/Sonnenallee,29006200,15971600,29006.2,15971.6,0
1276,SKLH02,S Köllnische Heide,29231600,15729900,29231.6,15729.9,0
1277,UHAL01,U Hallesches Tor,24190700,18944300,24190.7,18944.3,0
1278,KLAU01,Klinikum Am Urban,25115100,18507200,25115.1,18507.2,0
1279,KLAU02,Klinikum Am Urban,25115800,18487600,25115.8,18487.6,0
1280,PAND01,Peter-Anders-Str.,29801600,15132000,29801.6,15132,0
1281,SAPA04,Sonnenallee/Pannierstr.,26765900,17674300,26765.9,17674.3,0
1282,GRFE01,Graefestr.,25756000,18246200,25756,18246.2,0
1283,TMPH01,Tempelherrenstr.,24697900,18619500,24697.9,18619.5,0
1284,TMPH02,Tempelherrenstr.,24722300,18597100,24722.3,18597.1,0
1285,URBW04,Urbanstr./Baerwaldstr.,24953500,18531800,24953.5,18531.8,0
1286,GRFE02,Graefestr.,25760400,18228400,25760.4,18228.4,0
1287,UHPU03,U Hermannplatz/Urbanstr.,26360600,17889600,26360.6,17889.6,0
1288,DWSA02,Dammweg/Sonnenallee,28967900,15971300,28967.9,15971.3,0
1289,ZIEG02,Ziegrastr.,28666400,16150800,28666.4,16150.8,0
1290,ABGE02,Abgeordnetenhaus,23343300,19919200,23343.3,19919.2,0
1291,ABGE03,Abgeordnetenhaus,23331900,19951200,23331.9,19951.2,0
1292,PAND02,Peter-Anders-Str.,29763500,15144900,29763.5,15144.9,0
1293,JAHN01,Jahnstr.,26052500,18108100,26052.5,18108.1,0
1294,JAHN02,Jahnstr.,26070000,18074700,26070,18074.7,0
1295,BLST03,Blücherstr.,24488900,18752100,24488.9,18752.1,0
1296,BLST04,Blücherstr.,24402000,18784700,24402,18784.7,0
1297,HBF04,S+U Hauptbahnhof,22606200,22157300,22606.2,22157.3,0
1298,UHAL02,U Hallesches Tor,24152600,18963700,24152.6,18963.7,0
1299,SAHU05,S Anhalter Bahnhof,23516600,19693700,23516.6,19693.7,0
1300,UHPS04,U Hermannplatz/Sonnenallee,26483400,17817800,26483.4,17817.8,0
1301,SPPV01,S Potsdamer Platz/Voßstr.,23114100,20367800,23114.1,20367.8,0
1302,SPPV02,S Potsdamer Platz/Voßstr.,23105800,20375200,23105.8,20375.2,0
1303,SUPP04,S+U Potsdamer Platz,23163800,20156000,23163.8,20156,0
1304,SUPP06,S+U Potsdamer Platz,23153200,20187700,23153.2,20187.7,0
1305,SABS01,Sonnenallee/Baumschulenstr.,30080300,14910000,30080.3,14910,0
1306,SABS02,Sonnenallee/Baumschulenstr.,30119400,14908200,30119.4,14908.2,0
1307,SABS03,Sonnenallee/Baumschulenstr.,30108700,14895100,30108.7,14895.1,0
1308,HBF01B,S+U Hauptbahnhof,22571900,22216500,22571.9,22216.5,0
1309,UHPS01B,U Hermannplatz/Sonnenallee,26455100,17855600,26455.1,17855.6,0
1310,UHPU03B,U Hermannplatz/Urbanstr.,26360600,17889600,26360.6,17889.6,0
1311,HBF04B,S+U Hauptbahnhof,22606200,22157300,22606.2,22157.3,0
1312,UHAL02B,U Hallesches Tor,24152600,18963700,24152.6,18963.7,0
1313,SABS01B,Sonnenallee/Baumschulenstr.,30080300,14910000,30080.3,14910,0
1314,SABS02B,Sonnenallee/Baumschulenstr.,30119400,14908200,30119.4,14908.2,0
1315,SABS03B,Sonnenallee/Baumschulenstr.,30108700,14895100,30108.7,14895.1,0
1316,BF L E,Betriebshof Lichtenberg Einsetzen,31640300,21394700,31640.3,21394.7,0
1317,BF B E,Betriebshof Britz Einsetzen,27061100,14134900,27061.1,14134.9,0
1318,BF I E,Betriebshof Indira-Gandhi-Str. Einsetzen,29534700,24204700,29534.7,24204.7,0
1319,BF B A,Betriebshof Britz Aussetzen,27061100,14134900,27061.1,14134.9,0
1320,BF I A,Betriebshof Indira-Gandhi-Str. Aussetzen,29534700,24204700,29534.7,24204.7,0
1321,SURZ01,S+U Rathaus Steglitz,19319000,14494700,19319,14494.7,0
1322,KIEL01,Kieler Str.,19441100,14700400,19441.1,14700.4,0
1323,USCH01,U Schloßstr.,19598800,14961400,19598.8,14961.4,0
1324,UWSP01,U Walther-Schreiber-Platz,19853900,15391800,19853.9,15391.8,0
1325,HBF10,S+U Hauptbahnhof,22518100,22202300,22518.1,22202.3,0
1326,HBF11,S+U Hauptbahnhof,22522300,22270500,22522.3,22270.5,0
1327,HBF12,S+U Hauptbahnhof,22579300,22198400,22579.3,22198.4,0
1328,UWSP02,U Walther-Schreiber-Platz,19755500,15262000,19755.5,15262,0
1329,USCH02,U Schloßstr.,19614100,15023100,19614.1,15023.1,0
1330,KIEL02,Kieler Str.,19375800,14621000,19375.8,14621,0
1331,LIPP01,Lippstädter Str.,18045100,9537600,18045.1,9537.6,0
1332,APPZ02,Appenzeller Str.,17804300,10529200,17804.3,10529.2,0
1333,UKFS02,U Kurfürstenstr.,22118200,19236600,22118.2,19236.6,0
1334,HSML02,Hauptstr./Martin-Luther-Str.,20973300,16980000,20973.3,16980,0
1335,HSML01,Hauptstr./Martin-Luther-Str.,21019800,17013300,21019.8,17013.3,0
1336,KAEI02,Kaisereiche,20078100,15744600,20078.1,15744.6,0
